images,labels
IMD420.bmp,1
IMD063.bmp,1
IMD019.bmp,0
IMD394.bmp,0
IMD279.bmp,0
IMD331.bmp,0
IMD426.bmp,1
IMD133.bmp,0
IMD348.bmp,1
IMD242.bmp,1
IMD160.bmp,0
IMD014.bmp,0
IMD047.bmp,0
IMD408.bmp,1
IMD409.bmp,1
IMD143.bmp,0
IMD085.bmp,1
IMD156.bmp,0
IMD027.bmp,0
IMD200.bmp,0
IMD406.bmp,1
IMD409.bmp,1
IMD403.bmp,1
IMD394.bmp,0
IMD393.bmp,0
IMD085.bmp,1
IMD058.bmp,1
IMD009.bmp,0
IMD149.bmp,0
IMD064.bmp,1
IMD050.bmp,0
IMD304.bmp,0
IMD404.bmp,1
IMD108.bmp,0
IMD085.bmp,1
IMD112.bmp,0
IMD085.bmp,1
IMD285.bmp,1
IMD219.bmp,1
IMD197.bmp,0
IMD378.bmp,0
IMD090.bmp,1
IMD088.bmp,1
IMD242.bmp,1
IMD105.bmp,0
IMD035.bmp,0
IMD420.bmp,1
IMD408.bmp,1
IMD219.bmp,1
IMD348.bmp,1
IMD398.bmp,0
IMD043.bmp,0
IMD080.bmp,1
IMD016.bmp,0
IMD036.bmp,0
IMD403.bmp,1
IMD240.bmp,1
IMD013.bmp,0
IMD032.bmp,0
IMD156.bmp,0
IMD421.bmp,1
IMD204.bmp,0
IMD088.bmp,1
IMD424.bmp,1
IMD206.bmp,0
IMD405.bmp,1
IMD403.bmp,1
IMD426.bmp,1
IMD348.bmp,1
IMD339.bmp,0
IMD400.bmp,0
IMD280.bmp,0
IMD058.bmp,1
IMD390.bmp,0
IMD242.bmp,1
IMD153.bmp,0
IMD080.bmp,1
IMD088.bmp,1
IMD204.bmp,0
IMD211.bmp,1
IMD050.bmp,0
IMD043.bmp,0
IMD251.bmp,0
IMD162.bmp,0
IMD364.bmp,0
IMD417.bmp,1
IMD155.bmp,0
IMD304.bmp,0
IMD091.bmp,1
IMD418.bmp,1
IMD036.bmp,0
IMD088.bmp,1
IMD312.bmp,0
IMD407.bmp,1
IMD397.bmp,0
IMD197.bmp,0
IMD027.bmp,0
IMD424.bmp,1
IMD370.bmp,0
IMD090.bmp,1
IMD088.bmp,1
IMD024.bmp,0
IMD413.bmp,1
IMD389.bmp,0
IMD168.bmp,1
IMD279.bmp,0
IMD425.bmp,1
IMD161.bmp,0
IMD018.bmp,0
IMD410.bmp,1
IMD280.bmp,0
IMD328.bmp,0
IMD284.bmp,1
IMD157.bmp,0
IMD044.bmp,0
IMD040.bmp,0
IMD395.bmp,0
IMD364.bmp,0
IMD176.bmp,0
IMD085.bmp,1
IMD380.bmp,0
IMD150.bmp,0
IMD423.bmp,1
IMD166.bmp,0
IMD408.bmp,1
IMD147.bmp,0
IMD006.bmp,0
IMD016.bmp,0
IMD409.bmp,1
IMD156.bmp,0
IMD405.bmp,1
IMD405.bmp,1
IMD021.bmp,0
IMD090.bmp,1
IMD312.bmp,0
IMD406.bmp,1
IMD374.bmp,0
IMD219.bmp,1
IMD243.bmp,0
IMD211.bmp,1
IMD407.bmp,1
IMD219.bmp,1
IMD404.bmp,1
IMD405.bmp,1
IMD397.bmp,0
IMD169.bmp,0
IMD421.bmp,1
IMD407.bmp,1
IMD203.bmp,0
IMD370.bmp,0
IMD413.bmp,1
IMD008.bmp,0
IMD285.bmp,1
IMD403.bmp,1
IMD420.bmp,1
IMD425.bmp,1
IMD219.bmp,1
IMD400.bmp,0
IMD407.bmp,1
IMD156.bmp,0
IMD118.bmp,0
IMD405.bmp,1
IMD061.bmp,1
IMD138.bmp,0
IMD058.bmp,1
IMD088.bmp,1
IMD010.bmp,0
IMD008.bmp,0
IMD203.bmp,0
